epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,744.849,1.00036,0.83004,1.1686,0.47543,0.59954,0.55941,0.38009,1.46374,1.29664,1.48936,0.000848969,0.000848969,0.000848969
43,760.869,0.94243,0.77858,1.10721,0.51605,0.63889,0.58501,0.34831,1.35913,1.19577,1.44186,0.000834822,0.000834822,0.000834822
44,777.532,0.96594,0.80203,1.14007,0.592,0.49338,0.5432,0.37474,1.40949,1.26877,1.44546,0.000820675,0.000820675,0.000820675
45,797.117,0.93067,0.75527,1.11793,0.59126,0.54514,0.57156,0.38648,1.47993,1.31361,1.51903,0.000806528,0.000806528,0.000806528
46,813.284,0.96696,0.79538,1.14175,0.70086,0.39078,0.49911,0.33704,1.35669,1.31421,1.38249,0.00079238,0.00079238,0.00079238
47,830.123,0.91982,0.74249,1.09108,0.74616,0.39931,0.53256,0.36591,1.4189,1.32002,1.44449,0.000778233,0.000778233,0.000778233
48,847.85,0.91033,0.73904,1.10609,0.8501,0.48439,0.61249,0.40232,1.37504,1.22356,1.45186,0.000764086,0.000764086,0.000764086
49,865.302,0.88032,0.72093,1.07637,0.79113,0.47665,0.5995,0.31848,1.36955,1.31561,1.45133,0.000749939,0.000749939,0.000749939
50,882.95,0.89262,0.70882,1.09269,0.72015,0.52778,0.64457,0.3932,1.30654,1.21694,1.39249,0.000735792,0.000735792,0.000735792
51,899.611,0.91016,0.73768,1.0887,0.79874,0.52703,0.60576,0.38426,1.33559,1.19979,1.42697,0.000721645,0.000721645,0.000721645
52,917.279,0.87974,0.70714,1.07523,0.74253,0.50426,0.61372,0.394,1.32292,1.22738,1.37366,0.000707498,0.000707498,0.000707498
53,933.588,0.8997,0.72797,1.09763,0.57814,0.59526,0.57011,0.39923,1.34191,1.23731,1.41906,0.000693351,0.000693351,0.000693351
54,950.741,0.86925,0.70056,1.07191,0.52539,0.61111,0.56349,0.40684,1.33707,1.26629,1.43572,0.000679204,0.000679204,0.000679204
55,968.616,0.86848,0.71101,1.07403,0.68089,0.41319,0.52134,0.38186,1.23813,1.22541,1.36669,0.000665057,0.000665057,0.000665057
56,985.547,0.84821,0.68284,1.05849,0.78448,0.49046,0.60474,0.4159,1.35291,1.22975,1.45409,0.000650909,0.000650909,0.000650909
57,1003.14,0.839,0.67453,1.05983,0.73222,0.54355,0.61275,0.44391,1.29422,1.13397,1.39426,0.000636762,0.000636762,0.000636762
58,1022.75,0.81347,0.65201,1.03789,0.67683,0.56944,0.58189,0.42187,1.33874,1.23447,1.42122,0.000622615,0.000622615,0.000622615
59,1039.29,0.81222,0.64793,1.03865,0.60846,0.5633,0.57384,0.401,1.40072,1.27922,1.45467,0.000608468,0.000608468,0.000608468
60,1055.02,0.81311,0.64282,1.04722,0.62325,0.61289,0.57711,0.40755,1.36947,1.29693,1.44925,0.000594321,0.000594321,0.000594321
61,1071.83,0.82224,0.65261,1.06076,0.73567,0.54522,0.59726,0.38958,1.36856,1.22127,1.44955,0.000580174,0.000580174,0.000580174
62,1090.2,0.79874,0.64254,1.04395,0.80058,0.502,0.59902,0.40274,1.33756,1.26335,1.45365,0.000566027,0.000566027,0.000566027
63,1108.01,0.79194,0.62241,1.02834,0.73452,0.5422,0.60133,0.40926,1.30174,1.29634,1.40963,0.00055188,0.00055188,0.00055188
64,1125.57,0.77915,0.60573,1.02388,0.695,0.56944,0.61697,0.40099,1.42153,1.39701,1.47821,0.000537733,0.000537733,0.000537733
65,1142.72,0.7993,0.64644,1.05839,0.62633,0.60028,0.61184,0.41335,1.36536,1.28904,1.43076,0.000523586,0.000523586,0.000523586
66,1159.23,0.77189,0.595,1.01228,0.63969,0.43264,0.54323,0.40431,1.34739,1.29387,1.39483,0.000509438,0.000509438,0.000509438
67,1178.27,0.7654,0.6027,1.02927,0.60089,0.60775,0.59276,0.40273,1.33896,1.30048,1.40578,0.000495291,0.000495291,0.000495291
68,1195.55,0.7436,0.58431,1.00847,0.58387,0.59722,0.59308,0.38949,1.37662,1.15091,1.44121,0.000481144,0.000481144,0.000481144
69,1212.75,0.74665,0.5727,1.00624,0.80177,0.55524,0.64045,0.42181,1.306,1.1792,1.39445,0.000466997,0.000466997,0.000466997
70,1229.91,0.74665,0.58644,1.01855,0.72599,0.61195,0.62847,0.39871,1.3396,1.2023,1.42907,0.00045285,0.00045285,0.00045285
71,1247.01,0.75039,0.58704,1.01487,0.7173,0.42014,0.51671,0.37427,1.37303,1.18805,1.44993,0.000438703,0.000438703,0.000438703
72,1265.23,0.72896,0.5679,1.01468,0.70232,0.45139,0.53944,0.39547,1.32699,1.09731,1.42434,0.000424556,0.000424556,0.000424556
73,1283.84,0.70683,0.55406,1.00223,0.70789,0.4362,0.5394,0.39898,1.3809,1.15126,1.44057,0.000410409,0.000410409,0.000410409
74,1300.84,0.70178,0.54677,1.00233,0.49472,0.51389,0.53381,0.39479,1.37433,1.27453,1.45843,0.000396262,0.000396262,0.000396262
75,1318.77,0.70045,0.55067,0.97802,0.63109,0.47942,0.54231,0.39664,1.41114,1.23538,1.49329,0.000382115,0.000382115,0.000382115
76,1336.63,0.68978,0.53687,0.97999,0.61357,0.46312,0.52797,0.39285,1.40625,1.13991,1.45986,0.000367967,0.000367967,0.000367967
77,1355.32,0.6933,0.53723,0.97482,0.50775,0.6265,0.56801,0.39631,1.37844,1.14533,1.4492,0.00035382,0.00035382,0.00035382
78,1373.75,0.70672,0.54147,1.00365,0.56825,0.60069,0.57305,0.39776,1.37076,1.19657,1.4542,0.000339673,0.000339673,0.000339673
79,1391.34,0.69289,0.52433,0.98005,0.71411,0.43396,0.55101,0.41715,1.38348,1.22221,1.46621,0.000325526,0.000325526,0.000325526
80,1408.41,0.70283,0.54529,0.97841,0.50028,0.64135,0.58418,0.43114,1.31008,1.20806,1.44078,0.000311379,0.000311379,0.000311379
81,1426.48,0.67713,0.51519,0.97698,0.74587,0.47256,0.58903,0.41611,1.37766,1.13615,1.4926,0.000297232,0.000297232,0.000297232
82,1443.63,0.70272,0.52431,0.9889,0.61502,0.625,0.61715,0.42088,1.32994,1.15309,1.46387,0.000283085,0.000283085,0.000283085
